module;category;difficulty;question;prompt;options;answer;explanation;hint;is_active
psychotechnique;raisonnement_logique;Facile;Qui est le plus rapide ?;Sarah est plus rapide que Yanis. Yanis est plus rapide que Lucas. Lucas est plus rapide que Clara.;"[""Yanis"", ""Lucas"", ""Clara"", ""Sarah""]";Sarah;La structure logique est un transitivité d'ordre. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Sarah ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Moyenne;Qui est le plus rapide ?;Clara est plus rapide que Sarah. Sarah est plus rapide que Nora. Nora est plus rapide que Lucas.;"[""Nora"", ""Sarah"", ""Lucas"", ""Clara""]";Clara;La structure logique est un transitivité d'ordre. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Clara ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Difficile;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 13 ans.;"[""36"", ""39"", ""42"", ""16""]";39;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 39 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Facile;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 17 ans.;"[""51"", ""20"", ""48"", ""54""]";51;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 51 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Moyenne;Quelle conclusion est forcément vraie ?;Tous les agents habilités sont contrôlés. Ce véhicule appartient à la catégorie « agents habilités ».;"[""Ce véhicule n'est pas contrôlés."", ""On ne peut rien conclure."", ""Ce véhicule est contrôlés."", ""Tous les éléments contrôlés sont des agents habilités.""]";Ce véhicule est contrôlés.;La structure logique est un syllogisme par appartenance. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Ce véhicule est contrôlés. ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Difficile;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 12 ans.;"[""33"", ""39"", ""36"", ""15""]";36;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 36 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Facile;Quelle conclusion est forcément vraie ?;Tous les véhicules de service sont autorisés. Ce véhicule appartient à la catégorie « véhicules de service ».;"[""On ne peut rien conclure."", ""Ce véhicule est autorisés."", ""Ce véhicule n'est pas autorisés."", ""Tous les éléments autorisés sont des véhicules de service.""]";Ce véhicule est autorisés.;La structure logique est un syllogisme par appartenance. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Ce véhicule est autorisés. ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Moyenne;Quelle conclusion est forcément vraie ?;Tous les véhicules de service sont contrôlés. Cet agent appartient à la catégorie « véhicules de service ».;"[""Cet agent n'est pas contrôlés."", ""Tous les éléments contrôlés sont des véhicules de service."", ""Cet agent est contrôlés."", ""On ne peut rien conclure.""]";Cet agent est contrôlés.;La structure logique est un syllogisme par appartenance. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Cet agent est contrôlés. ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Difficile;Quelle conclusion est forcément vraie ?;Tous les agents habilités sont autorisés. Ce rapport appartient à la catégorie « agents habilités ».;"[""Ce rapport n'est pas autorisés."", ""Tous les éléments autorisés sont des agents habilités."", ""On ne peut rien conclure."", ""Ce rapport est autorisés.""]";Ce rapport est autorisés.;La structure logique est un syllogisme par appartenance. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Ce rapport est autorisés. ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Facile;Quelle conclusion est forcément vraie ?;Tous les rapports validés sont archivés. Cet agent appartient à la catégorie « rapports validés ».;"[""Cet agent n'est pas archivés."", ""Tous les éléments archivés sont des rapports validés."", ""Cet agent est archivés."", ""On ne peut rien conclure.""]";Cet agent est archivés.;La structure logique est un syllogisme par appartenance. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Cet agent est archivés. ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Moyenne;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 8 ans.;"[""11"", ""24"", ""27"", ""21""]";24;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 24 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Difficile;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 16 ans.;"[""51"", ""45"", ""48"", ""19""]";48;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 48 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Facile;Quelle conclusion est forcément vraie ?;Tous les rapports validés sont archivés. Ce rapport appartient à la catégorie « rapports validés ».;"[""Ce rapport est archivés."", ""Tous les éléments archivés sont des rapports validés."", ""Ce rapport n'est pas archivés."", ""On ne peut rien conclure.""]";Ce rapport est archivés.;La structure logique est un syllogisme par appartenance. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Ce rapport est archivés. ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Moyenne;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 15 ans.;"[""48"", ""45"", ""42"", ""18""]";45;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 45 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Facile;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 11 ans.;"[""30"", ""36"", ""33"", ""14""]";33;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 33 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
