module;category;difficulty;sequence_text;prompt;options;answer;explanation;hint;is_active
psychotechnique;suites_logiques;Difficile;2, ?, 5, 7, 11, 13;Quel terme manque ?;"[""4"", ""2"", ""3"", ""8""]";3;La règle est la suite des nombres premiers. Le terme manquant est donc 3, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 2 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Nombres premiers;true
psychotechnique;suites_logiques;Facile;73, 70, 67, 64, 61, ?;Quel terme manque ?;"[""58"", ""59"", ""61"", ""57""]";58;La règle est une soustraction constante de 3. Le terme manquant est donc 58, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 61 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Soustraction constante -3;true
psychotechnique;suites_logiques;Moyenne;2, 4, 8, ?, 20, 22;Quel terme manque ?;"[""11"", ""9"", ""10"", ""15""]";10;La règle alterne une addition de 2 puis une multiplication par 2. Le terme manquant est donc 10, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 8 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Alternance +2 puis ×2;true
psychotechnique;suites_logiques;Difficile;3, 3, 6, ?, 15, 24;Quel terme manque ?;"[""14"", ""9"", ""10"", ""8""]";9;La règle est une variante de Fibonacci : chaque terme est la somme des deux précédents. Le terme manquant est donc 9, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 6 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Fibonacci variante;true
psychotechnique;suites_logiques;Facile;1, 3, 9, 27, 81, ?;Quel terme manque ?;"[""245"", ""244"", ""242"", ""243""]";243;La règle est une multiplication par 3 à chaque étape. Le terme manquant est donc 243, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 81 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Multiplication par 3;true
psychotechnique;suites_logiques;Moyenne;A, D, G, J, ?, P;Quel terme manque ?;"[""O"", ""N"", ""L"", ""M""]";M;La règle décale chaque lettre de 3 positions dans l'alphabet. Le terme manquant est donc M, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « J ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Lettres avec saut de 3;true
psychotechnique;suites_logiques;Difficile;1, ?, 6, 11, 17, 28;Quel terme manque ?;"[""4"", ""6"", ""8"", ""5""]";5;La règle est une variante de Fibonacci : chaque terme est la somme des deux précédents. Le terme manquant est donc 5, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 1 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Fibonacci variante;true
psychotechnique;suites_logiques;Facile;3, ?, 12, 24, 48, 96;Quel terme manque ?;"[""5"", ""11"", ""6"", ""7""]";6;La règle est une multiplication par 2 à chaque étape. Le terme manquant est donc 6, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 3 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Multiplication par 2;true
psychotechnique;suites_logiques;Moyenne;3, 5, 10, ?, 24, 26;Quel terme manque ?;"[""13"", ""11"", ""15"", ""12""]";12;La règle alterne une addition de 2 puis une multiplication par 2. Le terme manquant est donc 12, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 10 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Alternance +2 puis ×2;true
psychotechnique;suites_logiques;Difficile;A, C, ?, J, O, U;Quel terme manque ?;"[""G"", ""E"", ""F"", ""H""]";F;La règle applique un décalage alphabétique croissant : +2, +3, +4, puis ainsi de suite. Le terme manquant est donc F, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « C ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Décalage alphabétique croissant;true
psychotechnique;suites_logiques;Facile;19, 29, ?, 49, 59, 69;Quel terme manque ?;"[""38"", ""39"", ""40"", ""41""]";39;La règle est une progression arithmétique de +10. Le terme manquant est donc 39, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 29 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Progression arithmétique +10;true
psychotechnique;suites_logiques;Moyenne;7, ?, 31, 63, 127, 255;Quel terme manque ?;"[""16"", ""15"", ""14"", ""17""]";15;La règle est : multiplier par 2 puis ajouter 1. Le terme manquant est donc 15, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 7 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;×2 puis +1;true
psychotechnique;suites_logiques;Difficile;2, ?, 5, 8, 13, 21;Quel terme manque ?;"[""4"", ""3"", ""2"", ""6""]";3;La règle est une variante de Fibonacci : chaque terme est la somme des deux précédents. Le terme manquant est donc 3, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 2 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Fibonacci variante;true
psychotechnique;suites_logiques;Facile;4, 12, 36, 108, ?, 972;Quel terme manque ?;"[""323"", ""329"", ""324"", ""325""]";324;La règle est une multiplication par 3 à chaque étape. Le terme manquant est donc 324, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 108 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Multiplication par 3;true
psychotechnique;suites_logiques;Moyenne;8, 10, 20, ?, 44, 46;Quel terme manque ?;"[""24"", ""21"", ""23"", ""22""]";22;La règle alterne une addition de 2 puis une multiplication par 2. Le terme manquant est donc 22, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 20 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Alternance +2 puis ×2;true
psychotechnique;suites_logiques;Difficile;1, 8, 27, 64, ?, 216;Quel terme manque ?;"[""124"", ""127"", ""126"", ""125""]";125;La règle est la suite des cubes parfaits. Le terme manquant est donc 125, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 64 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Cubes parfaits;true
psychotechnique;suites_logiques;Facile;68, 63, ?, 53, 48, 43;Quel terme manque ?;"[""57"", ""58"", ""59"", ""61""]";58;La règle est une soustraction constante de 5. Le terme manquant est donc 58, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 63 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Soustraction constante -5;true
psychotechnique;suites_logiques;Moyenne;3, 7, 13, 21, ?, 43;Quel terme manque ?;"[""31"", ""32"", ""33"", ""30""]";31;La règle repose sur des différences qui augmentent progressivement. Le terme manquant est donc 31, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 21 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Différences croissantes;true
psychotechnique;suites_logiques;Difficile;A, C, F, ?, O, U;Quel terme manque ?;"[""K"", ""J"", ""L"", ""I""]";J;La règle applique un décalage alphabétique croissant : +2, +3, +4, puis ainsi de suite. Le terme manquant est donc J, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « F ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Décalage alphabétique croissant;true
psychotechnique;suites_logiques;Facile;9, 14, 19, ?, 29, 34;Quel terme manque ?;"[""23"", ""26"", ""25"", ""24""]";24;La règle est une progression arithmétique de +5. Le terme manquant est donc 24, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 19 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Progression arithmétique +5;true
psychotechnique;suites_logiques;Moyenne;5, 7, 14, 16, 32, ?;Quel terme manque ?;"[""35"", ""33"", ""34"", ""37""]";34;La règle alterne une addition de 2 puis une multiplication par 2. Le terme manquant est donc 34, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 32 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Alternance +2 puis ×2;true
psychotechnique;suites_logiques;Difficile;A, C, F, J, ?, U;Quel terme manque ?;"[""P"", ""N"", ""Q"", ""O""]";O;La règle applique un décalage alphabétique croissant : +2, +3, +4, puis ainsi de suite. Le terme manquant est donc O, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « J ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Décalage alphabétique croissant;true
psychotechnique;suites_logiques;Facile;55, 50, 45, 40, ?, 30;Quel terme manque ?;"[""38"", ""34"", ""36"", ""35""]";35;La règle est une soustraction constante de 5. Le terme manquant est donc 35, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 40 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Soustraction constante -5;true
psychotechnique;suites_logiques;Moyenne;5, ?, 23, 47, 95, 191;Quel terme manque ?;"[""12"", ""16"", ""11"", ""10""]";11;La règle est : multiplier par 2 puis ajouter 1. Le terme manquant est donc 11, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 5 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;×2 puis +1;true
psychotechnique;suites_logiques;Difficile;A, C, F, J, O, ?;Quel terme manque ?;"[""V"", ""T"", ""W"", ""U""]";U;La règle applique un décalage alphabétique croissant : +2, +3, +4, puis ainsi de suite. Le terme manquant est donc U, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « O ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Décalage alphabétique croissant;true
psychotechnique;suites_logiques;Facile;79, 74, 69, ?, 59, 54;Quel terme manque ?;"[""66"", ""63"", ""64"", ""65""]";64;La règle est une soustraction constante de 5. Le terme manquant est donc 64, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 69 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Soustraction constante -5;true
psychotechnique;suites_logiques;Moyenne;3, 7, 13, ?, 31, 43;Quel terme manque ?;"[""22"", ""23"", ""20"", ""21""]";21;La règle repose sur des différences qui augmentent progressivement. Le terme manquant est donc 21, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 13 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Différences croissantes;true
psychotechnique;suites_logiques;Difficile;1, ?, 8, 15, 23, 38;Quel terme manque ?;"[""10"", ""8"", ""7"", ""6""]";7;La règle est une variante de Fibonacci : chaque terme est la somme des deux précédents. Le terme manquant est donc 7, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 1 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Fibonacci variante;true
psychotechnique;suites_logiques;Facile;7, 9, 11, 13, 15, ?;Quel terme manque ?;"[""19"", ""16"", ""18"", ""17""]";17;La règle est une progression arithmétique de +2. Le terme manquant est donc 17, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 15 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Progression arithmétique +2;true
psychotechnique;suites_logiques;Moyenne;4, 6, ?, 14, 28, 30;Quel terme manque ?;"[""13"", ""11"", ""14"", ""12""]";12;La règle alterne une addition de 2 puis une multiplication par 2. Le terme manquant est donc 12, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 6 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Alternance +2 puis ×2;true
psychotechnique;suites_logiques;Difficile;2, 3, 5, 7, ?, 13;Quel terme manque ?;"[""11"", ""14"", ""10"", ""12""]";11;La règle est la suite des nombres premiers. Le terme manquant est donc 11, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 7 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Nombres premiers;true
psychotechnique;suites_logiques;Facile;1, ?, 9, 16, 25, 36;Quel terme manque ?;"[""4"", ""5"", ""3"", ""6""]";4;La règle est la suite des carrés parfaits. Le terme manquant est donc 4, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 1 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Carrés parfaits;true
psychotechnique;suites_logiques;Moyenne;G, K, O, S, ?, [;Quel terme manque ?;"[""W"", ""Y"", ""V"", ""X""]";W;La règle décale chaque lettre de 4 positions dans l'alphabet. Le terme manquant est donc W, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « S ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Lettres avec saut de 4;true
psychotechnique;suites_logiques;Difficile;1, ?, 7, 13, 20, 33;Quel terme manque ?;"[""8"", ""5"", ""6"", ""7""]";6;La règle est une variante de Fibonacci : chaque terme est la somme des deux précédents. Le terme manquant est donc 6, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 1 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Fibonacci variante;true
psychotechnique;suites_logiques;Facile;52, 49, 46, ?, 40, 37;Quel terme manque ?;"[""43"", ""42"", ""45"", ""44""]";43;La règle est une soustraction constante de 3. Le terme manquant est donc 43, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 46 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Soustraction constante -3;true
psychotechnique;suites_logiques;Moyenne;4, 9, 19, 39, ?, 159;Quel terme manque ?;"[""81"", ""79"", ""78"", ""80""]";79;La règle est : multiplier par 2 puis ajouter 1. Le terme manquant est donc 79, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 39 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;×2 puis +1;true
psychotechnique;suites_logiques;Facile;2, 6, ?, 54, 162, 486;Quel terme manque ?;"[""23"", ""19"", ""17"", ""18""]";18;La règle est une multiplication par 3 à chaque étape. Le terme manquant est donc 18, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 6 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Multiplication par 3;true
psychotechnique;suites_logiques;Moyenne;4, 9, 19, ?, 79, 159;Quel terme manque ?;"[""40"", ""38"", ""42"", ""39""]";39;La règle est : multiplier par 2 puis ajouter 1. Le terme manquant est donc 39, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 19 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;×2 puis +1;true
psychotechnique;suites_logiques;Difficile;2, 8, 10, ?, 28, 46;Quel terme manque ?;"[""21"", ""17"", ""19"", ""18""]";18;La règle est une variante de Fibonacci : chaque terme est la somme des deux précédents. Le terme manquant est donc 18, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 10 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Fibonacci variante;true
psychotechnique;suites_logiques;Facile;5, 8, ?, 14, 17, 20;Quel terme manque ?;"[""16"", ""12"", ""10"", ""11""]";11;La règle est une progression arithmétique de +3. Le terme manquant est donc 11, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 8 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Progression arithmétique +3;true
psychotechnique;suites_logiques;Moyenne;C, ?, K, O, S, W;Quel terme manque ?;"[""I"", ""F"", ""H"", ""G""]";G;La règle décale chaque lettre de 4 positions dans l'alphabet. Le terme manquant est donc G, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « C ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Lettres avec saut de 4;true
psychotechnique;suites_logiques;Difficile;1, 8, 27, ?, 125, 216;Quel terme manque ?;"[""69"", ""65"", ""64"", ""63""]";64;La règle est la suite des cubes parfaits. Le terme manquant est donc 64, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 27 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Cubes parfaits;true
psychotechnique;suites_logiques;Facile;1, 4, 9, 16, ?, 36;Quel terme manque ?;"[""28"", ""26"", ""24"", ""25""]";25;La règle est la suite des carrés parfaits. Le terme manquant est donc 25, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 16 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Carrés parfaits;true
psychotechnique;suites_logiques;Moyenne;8, ?, 14, 20, 28, 38;Quel terme manque ?;"[""10"", ""9"", ""11"", ""15""]";10;La règle repose sur des différences qui augmentent progressivement. Le terme manquant est donc 10, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 8 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Différences croissantes;true
psychotechnique;suites_logiques;Difficile;2, 6, 12, 20, 30, ?;Quel terme manque ?;"[""41"", ""44"", ""42"", ""43""]";42;La règle est la formule n² + n. Le terme manquant est donc 42, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 30 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;n² + n;true
psychotechnique;suites_logiques;Facile;12, 14, 16, 18, ?, 22;Quel terme manque ?;"[""19"", ""22"", ""20"", ""21""]";20;La règle est une progression arithmétique de +2. Le terme manquant est donc 20, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 18 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Progression arithmétique +2;true
psychotechnique;suites_logiques;Moyenne;2, 5, 10, ?, 26, 37;Quel terme manque ?;"[""18"", ""20"", ""16"", ""17""]";17;La règle repose sur des différences qui augmentent progressivement. Le terme manquant est donc 17, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 10 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Différences croissantes;true
psychotechnique;suites_logiques;Difficile;4, 3, 7, ?, 17, 27;Quel terme manque ?;"[""9"", ""11"", ""12"", ""10""]";10;La règle est une variante de Fibonacci : chaque terme est la somme des deux précédents. Le terme manquant est donc 10, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 7 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Fibonacci variante;true
psychotechnique;suites_logiques;Facile;48, ?, 42, 39, 36, 33;Quel terme manque ?;"[""45"", ""46"", ""44"", ""48""]";45;La règle est une soustraction constante de 3. Le terme manquant est donc 45, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 48 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Soustraction constante -3;true
psychotechnique;suites_logiques;Moyenne;5, 7, 14, 16, ?, 34;Quel terme manque ?;"[""33"", ""31"", ""32"", ""37""]";32;La règle alterne une addition de 2 puis une multiplication par 2. Le terme manquant est donc 32, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 16 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Alternance +2 puis ×2;true
psychotechnique;suites_logiques;Difficile;2, 6, 12, ?, 30, 42;Quel terme manque ?;"[""21"", ""19"", ""22"", ""20""]";20;La règle est la formule n² + n. Le terme manquant est donc 20, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 12 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;n² + n;true
psychotechnique;suites_logiques;Facile;1, 4, 9, ?, 25, 36;Quel terme manque ?;"[""16"", ""15"", ""17"", ""18""]";16;La règle est la suite des carrés parfaits. Le terme manquant est donc 16, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 9 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Carrés parfaits;true
psychotechnique;suites_logiques;Moyenne;C, G, K, ?, S, W;Quel terme manque ?;"[""P"", ""O"", ""N"", ""Q""]";O;La règle décale chaque lettre de 4 positions dans l'alphabet. Le terme manquant est donc O, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « K ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Lettres avec saut de 4;true
psychotechnique;suites_logiques;Difficile;1, 7, 8, 15, ?, 38;Quel terme manque ?;"[""24"", ""25"", ""23"", ""22""]";23;La règle est une variante de Fibonacci : chaque terme est la somme des deux précédents. Le terme manquant est donc 23, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 15 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Fibonacci variante;true
