module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Moyenne,Combien font 67 × 12 ?,67 * 12,"{""804"",""784"",""820"",""644""}",804,Produit de 67 × 12 : envisagez 67 × 10 = 670 et 67 × 2 = 134. Additionnez : 670 + 134 = 804. Erreur commune : rapporter en multipliant par 11 au lieu de 12.,Utilisez les unités de dizaines pour simplifier (10+2).,true
psychotechnique,calcul_mental,Moyenne,Quel est le cube de 3 ?,3^3,"{""27"",""18"",""24"",""36""}",27,"3 au cube signifie 3 × 3 × 3, soit 9 × 3 = 27. Un cube est un processus multiplicatif en trois étapes identiques. Un piège réside dans la confusion entre carré et cube.",Multipliez 3 par lui-même deux fois de suite.,true
psychotechnique,calcul_mental,Moyenne,Résultant de 58 / 2 ?,58 / 2,"{""28"",""29"",""30"",""27""}",29,"58 divisé par 2 se fait en pensant à 50 ÷ 2 qui est 25 et 8 ÷ 2 qui est 4, donc 25 + 4 = 29. Faites attention à la division erronée en prenant en compte seulement les dizaines.",Divisez chaque partie séparément puis ajoutez.,true
psychotechnique,calcul_mental,Difficile,Que font 23 × 17 ?,23 * 17,"{""391"",""331"",""373"",""406""}",391,Utilisez la distributivité pour décomposer 23 × 17 en (20 + 3) × 17 = 340 + 51 = 391. Méfiez-vous d'ignorer le terme à ajouter en fin des 3 × 17.,Décomposez les multiplications avec la distributivité.,true
psychotechnique,calcul_mental,Difficile,Quelle est la valeur de 8 % de 250 ?,0.08 * 250,"{""20"",""18"",""19"",""25""}",20,"Pour 8 % de 250, trouvez 1 % d'abord qui est 2,5, puis 8 fois ce 1 % : 2,5 × 8 = 20. Il est facile de voir ce calcul comme 2 % pris quatre fois.",Calculatez à partir de 1 % et multipliez par 8.,true
psychotechnique,calcul_mental,Difficile,Quel est le résultat de (35 + 17) × 2 − 14 ?,(35 + 17) * 2 - 14,"{""76"",""96"",""88"",""72""}",88,"Calculer (35 + 17) × 2 − 14 nécessite additionner premièrement, 35 + 17 = 52, puis multipliez par 2 d'abord : 52 × 2 = 104, puis retranchez 14 pour obtenir 88. Un piège est d'oublier l'ordre des opérations.",Additionnez puis multipliez avant de soustraire.,true
psychotechnique,calcul_mental,Difficile,Quel est le résultat de 48 × 25 ?,48 * 25,"{""1200"",""1100"",""1300"",""1250""}",1200,"Pensez à 48 × 25 comme 48 x 100 ÷ 4. Commencez par 48 × 4 = 192, puis multiplier par 25 = 192 × 25 = 1200. Allégorie serait d'oublier la décomposition par 25.",Divisez par 4 après multiplication par 100.,true
psychotechnique,calcul_mental,Difficile,Quelle est la valeur de 2/3 de 81 ?,2/3 * 81,"{""54"",""56"",""52"",""58""}",54,2/3 de 81 est calculé comme (81 ÷ 3) × 2. Le résultat de 81 ÷ 3 = 27 puis 27 × 2 = 54. Surveillez le piège de confondre fractions avec multiples.,"Divisez d'abord, puis multipliez par 2.",true
psychotechnique,calcul_mental,Difficile,Que donnent (25 + 13) × 3 − 15 ?,(25 + 13) * 3 - 15,"{""111"",""111"",""107"",""113""}",111,"Ceci se résout par (25 + 13) × 3 = 114, puis soustrayez 15. L'erreur fréquente est d'ignorer la multiplication avant la soustraction.","Effectuez d'abord l'addition, puis multipliez.",true
psychotechnique,calcul_mental,Difficile,Quelle est la puissance de 3^4 ?,3^4,"{""81"",""64"",""72"",""27""}",81,"3^4 signifie 3 × 3 × 3 × 3 = 81. Le calcul est plus aisé en étapes : d'abord, 3^2 = 9 puis 9 × 9 = 81. Un piège est d'oublier un ou deux calculs intermédiaires.",Faites la multiplication en étapes successives.,true
psychotechnique,calcul_mental,Difficile,Que fait 2^7 ?,2^7,"{""128"",""256"",""64"",""32""}",128,2^7 revient à multiplier 2 par lui-même sept fois: 2 × 2 × 2 × 2 × 2 × 2 × 2 = 128. Un piège est de perdre le fil en ne comptant pas assez de multiplications.,Montez les puissances en multipliant pas à pas.,true
psychotechnique,calcul_mental,Difficile,Que valent (12 × 9) + 25 ?,(12 * 9) + 25,"{""133"",""145"",""123"",""120""}",133,Calculez d'abord 12 × 9 = 108 puis ajoutez 25 pour obtenir 133. Danger d'omettre la résolution de la multiplication initialement.,Effectuez d'abord multiplication puis ajoutez.,true
