module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de chiffres « 6 » apparaissent dans la suite ?,,6 2 6 4 6 7 6 8,"{""3"",""4"",""5"",""6""}",4,"Les chiffres 6 sont aux positions 1, 3, 5, et 7, ce qui fait exactement quatre '6'.",Comptez chaque 6 attentivement.,true
psychotechnique,concentration,Facile,Combien de chiffres pairs dans cette séquence : 3 5 6 8 9 2 4 ?,,3 5 6 8 9 2 4,"{""2"",""3"",""4"",""5""}",4,"Les chiffres pairs sont 6, 8, 2, et 4, présents respectivement aux positions 3, 4, 6, et 7. Cela fait quatre chiffres pairs.",Cherchez les chiffres divisibles par 2.,true
psychotechnique,concentration,Facile,Combien de mots en minuscules dans cette phrase ?,,Les agents et le chef inspectent calmement.,"{""3"",""4"",""5"",""6""}",5,"Les (1) + agents (1) + et (1) + le (1) + chef (1) + inspectent (1) + calmement (1). Total : 5, en ignorant la majuscule du premier mot.",Regardez le cas de chaque mot.,true
psychotechnique,concentration,Facile,"Quel chiffre est l'intrus : 2, 4, 6, 8, 9 ?",Tous sauf un sont pairs.,"2, 4, 6, 8, 9","{""2"",""6"",""8"",""9""}",9,"Les nombres 2, 4, 6, et 8 sont pairs. Le nombre 9 est impair, donc c'est l'intrus de la suite.",Considérez la parité des nombres.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « t » apparaît-elle dans cette phrase ?,"Considérez toutes les instances, indépendamment de la casse.",Tina et Tom sont occupés tout le temps.,"{""4"",""5"",""6"",""7""}",5,"Tina (1), et (1), Tom (1), sont (0), occupés (0), tout (1), le (0), temps (1). Total : 5.",Considérez tous les T majuscules et minuscules.,true
psychotechnique,concentration,Facile,Combien de chiffres « 1 » apparaissent dans la suite ?,,1 1 2 4 5 1 1 3,"{""2"",""3"",""4"",""5""}",4,"Les chiffres 1 apparaissent aux positions 1, 2, 6, et 7 : 4 fois au total.",Faites un relevé minutieux de chaque 1.,true
psychotechnique,concentration,Facile,Combien de consonnes sont présentes dans la phrase ?,Comptabilisez chaque consonne en tenant compte du cas.,Les chats grimpaient sur le toît.,"{""13"",""14"",""15"",""16""}",14,Les (2) + chats (4) + grimpaient (5) + sur (2) + le (1) + toît (2). Total : 16 consonnes.,Parcourez chaque mot individuellement.,true
psychotechnique,concentration,Moyenne,Quelle lettre est l'intrus dans la suite : A C E G I K L ?,Une lettre ne suit pas la série.,A C E G I K L,"{""C"",""E"",""I"",""L""}",L,La suite suit l'ordre des lettres impaires dans l'alphabet. 'L' est une lettre impaire mais ne respecte pas la double incursion après 'I'.,Considérez l'ordre et la séquence des lettres.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « p » minuscule apparaît-elle ?,Faites attention à la casse.,La police patrouille avec agilité. Prêtez attention aux détails.,"{""4"",""5"",""6"",""7""}",4,"La police (1) + patrouille (1) + avec (0) + agilité (0) + Prêtez (0, P majuscule) + attention (1) + aux (0) + détails (0). Total : 4.",Tenez compte de la casse des lettres.,true
psychotechnique,concentration,Moyenne,Combien de mots contiennent une voyelle dans cette phrase ?,"Considérez a, e, i, o, u.","Le soleil brille intensément en été, les vagues s'écrasent.","{""7"",""8"",""9"",""10""}",8,Le (1) + soleil (1) + brille (1) + intensément (1) + en (1) + été (1) + les (1) + vagues (1) + s'écrasent (1). Pratiquement chaque mot en a.,Parcourez chaque mot pour les voyelles.,true
psychotechnique,concentration,Moyenne,Quelle séquence est identique au modèle : KLMN ?,,KLMN,"{""KLMO"",""KLMN"",""KLON"",""KLNM""}",KLMN,"Par comparaison lettre par lettre, 'KLMN' est la seule séquence qui correspond exactement au modèle. Les autres ont une différence de lettre.",Vérifiez chaque lettre.,true
psychotechnique,concentration,Moyenne,Combien de chiffres 7 apparaissent dans la suite ?,,3 7 8 7 9 7 0 7 1,"{""3"",""4"",""5"",""6""}",4,"Les chiffres 7 apparaissent à la 2e, 4e, 6e et 8e positions, totalisant quatre occurrences.",Concentrez-vous sur chaque 7 dans la suite.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « m » apparaît-elle dans ce texte ?,Casse insensible.,Mon ami aime marcher le matin près de la mer.,"{""4"",""5"",""6"",""7""}",5,Mon (1) + ami (1) + aime (1) + marcher (1) + le (0) + matin (1) + près (0) + de (0) + la (0) + mer (0). Total : 5.,"Compte chaque m, majuscule et minuscule.",true
psychotechnique,concentration,Moyenne,Quelle suite est identique au modèle : 1A2B ?,,1A2B,"{""1A2C"",""1A2D"",""1A2B"",""1B2A""}",1A2B,"En comparant chaque option au modèle, c'est la seule séquence qui reproduit exactement les caractères 1, A, 2, et B dans cet ordre.",Vérifiez chaque caractère.,true
psychotechnique,concentration,Moyenne,"Quel mot est l'intrus : voiture, vélo, bateau, orange ?",Tous sauf un sont des moyens de transport.,"voiture, vélo, bateau, orange","{""voiture"",""vélo"",""orange"",""bateau""}",orange,"Voiture, vélo, et bateau sont des modes de transport. Orange est un fruit, donc l'intrus.",Réfléchissez à la classification de chaque mot.,true
psychotechnique,concentration,Moyenne,Combien de E majuscules dans le texte suivant ?,,"Etonnamment, Emilie est arrivée Exactement à l'heure.","{""2"",""3"",""4"",""5""}",3,Etonnamment (1) + Emilie (1) + Est (1) + Arrivée (0) + Exactement (1) + À (0) + l'Heure (0). Total : 3.,Cherchez uniquement les E majuscules.,true
psychotechnique,concentration,Moyenne,"Quelle couleur est l'intrus dans cette série : rouge, vert, blanc, argent ?",,"rouge, vert, blanc, argent","{""rouge"",""argent"",""vert"",""blanc""}",argent,"Rouge, vert, et blanc sont des couleurs basiques alors qu'argent est une nuance de métal.",Considérez les classifications typiques de couleur.,true
psychotechnique,concentration,Moyenne,"Quel nombre est l'intrus : 3, 6, 9, 12, 14 ?",Tous sauf un sont multiples de 3.,"3, 6, 9, 12, 14","{""3"",""6"",""12"",""14""}",14,"Les nombres 3, 6, 9, et 12 sont divisibles par 3. 14 ne l'est pas et est donc l'intrus.",Vérifiez la divisibilité de chaque nombre par 3.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « s » apparaît-elle ?,Considérez toutes les occurrences.,Les serpents sifflent silencieusement sous le soleil.,"{""6"",""7"",""8"",""9""}",8,Les (1) + serpents (2) + sifflent (1) + silencieusement (2) + sous (1) + le (0) + soleil (1). Total : 8.,Balayez ligne par ligne.,true
psychotechnique,concentration,Moyenne,Combien de lettres majeures sont présentes dans la phrase ?,"Considérez A, B, C, D, ..., Z.",La Forêt Enneigée Est Magique En Hiver.,"{""7"",""8"",""9"",""10""}",8,La (1) + Forêt (1) + Enneigée (1) + Est (1) + Magique (1) + En (1) + Hiver (1). Total : 8 majuscules.,Recherchez chaque capitalisation initiale.,true
psychotechnique,concentration,Difficile,Combien de chiffres « 4 » apparaissent dans la suite ?,,7 4 3 9 4 2 4 6 4 1 4,"{""4"",""5"",""6"",""7""}",5,"Les chiffres 4 apparaissent aux positions 2, 5, 7, 9, et 11, totalisant cinq occurrences.",Examinez chaque position attentivement.,true
psychotechnique,concentration,Difficile,Quelle séquence alpha numérique est identique au modèle : B3F9?%,,B3F9?%,"{""B3F9?$"",""B3F9?%"",""B3F0?%"",""B3F9*&""}",B3F9?%,Seule la deuxième option correspond exactement aux lettres et symboles du modèle avec aucun décalage ou substitution.,Pensez à identifier chaque symbole.,true
psychotechnique,concentration,Difficile,Combien de H majuscules sont présentes dans ce paragraphe ?,,"Hier, Hubert et Henri hésitaient avant de huer. Hanna hurlait.","{""4"",""5"",""6"",""7""}",4,Hier (1) + Hubert (1) + et (0) + Henri (1) + hésitaient (0) + avant (0) + de (0) + huer (0) + Hanna (1) + hurlait (0). Total : 4.,Faites attention aux initiales des prénoms.,true
psychotechnique,concentration,Difficile,Combien de voyelles majuscules dans cette phrase ?,Comptabilisez toutes les voyelles.,Les AVENTURIERS NE SAVAIENT PAS COMMENT.,"{""3"",""4"",""5"",""6""}",5,Les (0) + AVENTURIERS (2) + NE (1) + SAVAIENT (1) + PAS (0) + COMMENT (1). Total : 5 voyelles majuscules.,Veuillez exclure les voyelles en minuscules.,true
psychotechnique,concentration,Difficile,Combien de mots contiennent un accent aigu ?,,Les fruits d'été sont mûrs et prêts à être dégustés.,"{""2"",""3"",""4"",""5""}",3,"Les mots 'd'été'(1), 'prêts'(1), et 'dégustés'(1) contiennent chacun un accent aigu.",Identifiez chaque caractère accentué.,true
psychotechnique,concentration,Difficile,Combien de chiffres pairs dans cette suite complexe ?,,3 8 12 7 14 22 7 10 5,"{""4"",""5"",""6"",""7""}",6,"Les chiffres pairs sont 8, 12, 14, 22, 10, présents aux positions 2, 3, 5, 6, et 8. Un total de 5, donc vérifier les autres pairs présents.",Double-vérifiez chaque chiffre individuellement.,true
psychotechnique,concentration,Difficile,Combien de fois la lettre 'X' apparaît-elle dans ce code ?,,X3X5XX9X1X4X,"{""5"",""6"",""7"",""8""}",7,"Le 'X' figure sur les positions 1, 3, 5, 6, 8, 10, et 12. Donc, sept apparitions au total.",Assurez-vous de noter chaque X précisément.,true
psychotechnique,concentration,Difficile,Combien de voyelles présentes (compte sensible à la casse) ?,,L'ÉTÉ approche et LES OISEAUX chantent tôt LE matin.,"{""11"",""12"",""13"",""14""}",12,L'ÉTÉ (2) + approach (0) + et (1) + LES (1) + OISEAUX (3) + chantent (1) + tôt (1) + LE (1) + matin (1). Total : 12.,Sois attentif aux majuscules et minuscules.,true
psychotechnique,concentration,Difficile,Quelle séquence alpha est identique au modèle : Q1W2E ?,,Q1W2E,"{""Q2W1E"",""Q1W2E"",""Q1W3E"",""Q2W2E""}",Q1W2E,L'unique séquence identique au modèle est celle qui reprend strictement l'ordre et la structure des lettres et chiffres du modèle.,Vérifiez attentivement chaque lettre et chiffre.,true
psychotechnique,concentration,Difficile,Combien de consonnes dans ce texte dense ?,,"Brusquement, l'éclair s'est frayé un chemin dans le ciel orageux.","{""23"",""24"",""25"",""26""}",25,Brusquement (8) + l'éclair (4) + s'est (3) + frayé (2) + un (1) + chemin (4) + dans (3) + le (1) + ciel (3) + orageux (4). Total : 25.,Décomposez chaque mot pour identifier toutes les consonnes.,true
psychotechnique,concentration,Difficile,Quel est le mot qui ne suit pas la séquence ?,Les autres mots suivent une séquence logique.,"lundi, mardi, avril, jeudi","{""lundi"",""mardi"",""avril"",""jeudi""}",avril,"Lundi, mardi, et jeudi sont des jours de la semaine. Avril est un mois, brisant la séquence des jours.",Pensez aux divisions temporelles.,true
psychotechnique,concentration,Difficile,Quel pictogramme n'appartient pas à la même catégorie ?,Tous sauf un suivent un même motif.,☀ ☁ ☂ ☃ ⚒,"{""☀"",""☁"",""☂"",""⚒""}",⚒,"Les pictogrammes ☀, ☁, ☂, et ☃ sont liés à la météo, tandis que ⚒ est un symbole d'outil.",Considérez la météo et les éléments connexes.,true
psychotechnique,concentration,Difficile,Combien de fois la lettre Z majuscule apparaît-elle dans ce texte ?,,Zapping entre Zéros et Zénith sur Zalando.,"{""3"",""4"",""5"",""6""}",4,Zapping (1) + entre (0) + Zéros (1) + et (0) + Zénith (1) + sur (0) + Zalando (1). Total : 4.,Regardez attentivement chaque mot pour la majuscule 'Z'.,true
