module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans cette suite alphabétique ?,Toutes les lettres sauf une forment une suite continue.,A B C E F G,"{""C"",""E"",""F"",""G""}",E,La lettre E est l'intrus car elle brise la continuité de la suite alphabétique après D.,Notez l'ordre alphabétique.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « O » apparaît-elle dans cette phrase ?,Comptez les O majuscules et minuscules.,Oscar observe un ouragan durant octobre.,"{""2"",""3"",""4"",""5""}",5,"Dans la phrase, nous avons : Oscar (1), observe (1), ouragan (1), octobre (2), avec un total ne dev 5 O.",Surlignez chaque O que vous voyez.,true
psychotechnique,concentration,Facile,Quel nombre est l'intrus dans cette suite de chiffres ?,Identifiez le nombre qui ne suit pas le même modèle.,2 4 6 7 10 12,"{""4"",""6"",""7"",""10""}",7,"La suite suit des nombres pairs : 2, 4, 6, 10, 12. Le 7 est impair et rompt ainsi le modèle.",Vérifiez la parité des nombres.,true
psychotechnique,concentration,Facile,Combien de voyelles y a-t-il dans cette phrase ?,"Considère a, e, i, o, u en majuscule et minuscule.",Le gardien a aperçu une étrange ombre.,"{""10"",""11"",""12"",""13""}",12,"Voici la répartition : Le (1+1), gardien (2), a (1), aperçu (2), une (1), étrange (1), ombre (2). En tout, 12 voyelles.",Surlignez mentalement les voyelles.,true
psychotechnique,concentration,Facile,Combien de fois le chiffre « 5 » apparaît-il dans cette suite ?,,5 3 5 8 5 2 7,"{""2"",""3"",""4"",""5""}",3,"Dans la séquence, les 5 apparaissent aux positions 1, 3, et 5, totalisant ainsi trois occurrences.",Recherchez chaque chiffre « 5 » isolément.,true
psychotechnique,concentration,Facile,Combien de consonnes y a-t-il dans cette phrase ?,Ne comptez que les consonnes.,L'agent secret note une formule.,"{""10"",""11"",""12"",""13""}",11,"La répartition des consonnes est la suivante : L (1), 'g' (1), 'n' (1), secret (4), note (1), formule (3), totalisant 11 consonnes.",Comptez attentivement chaque consonne.,true
psychotechnique,concentration,Facile,Quel chiffre est l'intrus dans cette suite de chiffres ?,Identifiez le intrus par rapport au modèle pair-impair.,2 4 6 8 7 10,"{""4"",""6"",""7"",""8""}",7,"Tous les chiffres dans la séquence sont pairs à l'exception de 7, qui est impair et ne suit pas le motif.",Concentrez-vous sur la combinaison de nombres pairs et impairs.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « T » apparaît-elle dans ce texte (en majuscule ou minuscule) ?,Soyez attentif aux T majuscules et minuscules.,Timothy triture les textes techniques tout le temps.,"{""6"",""7"",""8"",""9""}",8,"Les T apparaissent dans : Timothy (1), triture (1), textes (2), techniques (2), tout (1), temps (1), totalisant 8 occurrences.",Repérez les T en visualisant chaque mot.,true
psychotechnique,concentration,Moyenne,Quel nombre est l'intrus dans cette suite ?,Tous les nombres sauf un forment une suite de carrés parfaits.,"1, 4, 9, 15, 16, 25","{""4"",""9"",""15"",""16""}",15,"Les nombres 1, 4, 9, 16 et 25 sont tous des carrés parfaits : 1^2, 2^2, 3^2, etc. Le nombre 15 n'est pas un carré parfait.",Pensez aux carrés des nombres entiers.,true
psychotechnique,concentration,Moyenne,Combien de mots de plus de 6 lettres y a-t-il dans cette phrase ?,,L'inspecteur examina minutieusement la scène du crime pour y trouver des évidences.,"{""2"",""3"",""4"",""5""}",3,"L'inspecteur (9), examinera (9), minutieusement (13), sont trois mots de plus de 6 lettres.",Identifiez les mots longs dès le début.,true
psychotechnique,concentration,Moyenne,Quelle séquence est identique au modèle ?,Modèle : abcd1234EfGh,,"{""abcd1234EFGh"",""abcd1243EfGh"",""abcd1235EfGh"",""abcd1234EfGh""}",abcd1234EfGh,"Seule la dernière proposition suit exactement le modèle donné, les autres contiennent des différences subtiles.",Vérifiez chaque caractère un par un.,true
psychotechnique,concentration,Moyenne,Combien de voyelles majuscules y a-t-il dans cette phrase ?,,"Un ÉNORME LOUP BAGUAIT DANS LES BOIS, CHASSANT QUELQUE MEUTE.","{""5"",""6"",""7"",""8""}",8,"Décompte : ÉNORME (1), LOUP (1), BAGUAIT (1), DANS (1), LES (1), BOIS (1), CHASSANT (0), QUELQUE (1), MEUTE (1) = 8 voyelles majuscules.",Concentrez-vous uniquement sur les majuscules.,true
psychotechnique,concentration,Moyenne,Quel chiffre est l'intrus dans cette suite de nombres ?,Levez l'intrus par rapport à son parité.,2 4 6 8 9 12 14,"{""9"",""12"",""14"",""6""}",9,"Tous les chiffres sont pairs à l'exception de 9, qui est impair et rompt ainsi le modèle.",Ciblez les chiffres impairs.,true
psychotechnique,concentration,Moyenne,Combien de paires de voyelles consécutives y a-t-il ?,,Eau et naïade sont épiques ici.,"{""1"",""2"",""3"",""4""}",3,"Voyelles consécutives trouvées dans : 'Eau' (1), 'naïade' (1), 'épiques' (1), total 3 paires.",Analysez chaque groupe de deux lettres.,true
psychotechnique,concentration,Moyenne,Combien d'adjectifs trouve-t-on dans cette phrase ?,,Le rapide renard brun sauta par-dessus le chien paresseux.,"{""2"",""3"",""4"",""5""}",3,"Les adjectifs sont : rapide, brun, paresseux. Ils décrivent les noms renard et chien.",Repérez les mots décrivant les noms.,true
psychotechnique,concentration,Moyenne,Combien d'occurrences de la lettre « A » sous forme majuscule trouve-t-on ?,,AVEC ACHETER est fortement recommandé dans ce contexte ANxieux.,"{""3"",""4"",""5"",""6""}",4,"Décompte des A majuscules : AVEC (1), ACHETER (1), recommandé (0), ANxieux (1). Total 3 A majuscules.",Ignorez les occurrences minuscules.,true
psychotechnique,concentration,Moyenne,Quelle séquence est identique au modèle ?,Modèle : GHPQZXYR,,"{""GHPQZXYR"",""HPQGZXYR"",""GHPQZAYR"",""GHPQZXTR""}",GHPQZXYR,"Seule la première option correspond exactement au modèle, les autres contiennent des variations subtiles.",Comparez chaque lettre soigneusement.,true
psychotechnique,concentration,Moyenne,Combien de mots de plus de 5 lettres y a-t-il dans cette phrase ?,,"Dans l'assemblée, plusieurs leaders se réinventa pour atteindre leurs objectifs.","{""2"",""3"",""4"",""5""}",3,"Les mots de plus de cinq lettres incluent : assemblée (9), réinventa (8), atteindre (8), pour un total de 3.",Repérez les mots qui dépassent cinq lettres.,true
psychotechnique,concentration,Moyenne,Quelle séquence suit exactement le modèle ci-dessous ?,Modèle : 8BZA94SQ,,"{""8BZA94SQ"",""8BZ4A9SQ"",""B8ZA9QS4"",""8BZA9S4Q""}",8BZA94SQ,Le seul choix qui reproduit exactement le modèle fourni est le premier.,Vérifiez chaque caractère un à un.,true
psychotechnique,concentration,Difficile,Combien de chiffres « 6 » apparaissent dans la suite ?,,9 6 7 8 6 9 6 1 6 0 4 6 3 2 6,"{""5"",""6"",""7"",""8""}",5,"Les chiffres « 6 » sont aux positions 2, 5, 7, 10, 14. Il y a donc 5 occurrences de ce chiffre.",Concentrez-vous sur chaque position impaire.,true
psychotechnique,concentration,Difficile,Combien de voyelles majuscules y a-t-il dans ce bloc de texte ?,,UNE GRANDE MAISON AVEC UN JARDIN CLÔTURÉ EST DISPONIBLE.,"{""6"",""7"",""8"",""9""}",8,"Voyelles majuscules : UNE (1), GRANDE (1), AVEC (1), MAISON (2), UN (0), JARDIN (0), CLÔTURÉ (1), DISPONIBLE (1) pour un total de 8.",Ne comptez que les majuscules.,true
psychotechnique,concentration,Difficile,Quel nombre est l'intrus dans la séquence suivante et pourquoi ?,Identifiez le nombre qui ne suit pas le modèle de carrés.,"4, 9, 16, 23, 25, 36","{""9"",""16"",""23"",""25""}",23,"La séquence suit des carrés parfaits : 2^2, 3^2, 4^2, 5^2, 6^2. Le 23 n'est pas un carré parfait.",Considérez les carrés des nombres entiers.,true
psychotechnique,concentration,Difficile,Combien de mots de plus de 7 lettres contient cette phrase ?,,L'astronome passionné d'astrophysique découvrit un phénomène inexpliqué.,"{""3"",""4"",""5"",""6""}",3,"Les mots de plus de 7 lettres incluent 'astronome' (9), 'astrophysique' (13), et 'inexpliqué' (9), totalisant 3 mots.",Cherchez les mots les plus longs.,true
psychotechnique,concentration,Difficile,Quelle séquence suit exactement le modèle ci-dessous ?,Modèle : hJH6&^jGm3,,"{""hjH6&^jGm3"",""hJH6&^jGmO"",""HJH6&^jGm3"",""hJH6&^jGm3""}",hJH6&^jGm3,"La dernière proposition suit exactement le modèle lettre par lettre, aucune différence n'est présente.",Vérifiez chaque caractère et sa position.,true
psychotechnique,concentration,Difficile,Combien de chiffres se trouvent dans la séquence suivante ?,,V3H5JX9Q0W6,"{""5"",""6"",""4"",""3""}",4,"La séquence contient quatre chiffres : 3, 5, 9, et 0. Les autres caractères sont des lettres.",Repérez chaque chiffre individuel.,true
psychotechnique,concentration,Difficile,Combien de lettres majuscules y a-t-il dans ce passage ?,,La forêt du Nord est un endroit Magnifique qui abrite des créatures Mystérieuses.,"{""3"",""4"",""5"",""6""}",5,"Lettres majuscules : L (1) dans 'La', N (1) dans 'Nord', M (1) dans 'Magnifique', M (1) dans 'Mystérieuses'. Total : 5 majuscules.",N'oubliez pas le début des phrases.,true
psychotechnique,concentration,Difficile,Combien de mots de plus de 8 lettres apparaissent dans ce texte ?,,L'enquêteur mit en œuvre des techniques d'investigation approfondies pour résoudre l'affaire.,"{""2"",""3"",""4"",""5""}",2,"Les mots qui dépassent 8 lettres sont 'techniques' (10) et 'investigation' (13), donnant un total de 2 mots.",Recherchez les mots avec au moins 9 lettres.,true
psychotechnique,concentration,Difficile,Quel nombre est l'intrus parmi la série suivante ?,Identifiez celui qui ne suit pas la règle des cubes parfaits.,"1, 8, 27, 54, 64, 125","{""27"",""54"",""64"",""125""}",54,"Tous les nombres sauf 54 sont des cubes parfaits, résultant de 1^3, 2^3, 3^3, 4^3, 5^3.",Pensez à la puissance de trois.,true
psychotechnique,concentration,Difficile,Combien de voyelles minuscules y a-t-il ?,,L'ÉCOLE ÉLITISTE est FERMÉE pour l'ÉTÉ afin de permettre des RÉPARATIONS.,"{""0"",""1"",""2"",""3""}",0,"Toutes les voyelles dans la phrase sont en majuscule, il n'y a donc aucune voyelle minuscule.",Considérez la casse des lettres.,true
psychotechnique,concentration,Difficile,Quelle séquence suit exactement le modèle ci-dessous ?,Modèle : 9KlOp123#,,"{""9KlOp123#"",""9KlOp321#"",""9KlOp123-"",""9KLOp123#""}",9KlOp123#,La première option est la seule séquence qui correspond parfaitement au modèle en tout point.,Considérez la casse et les symboles avec attention.,true
psychotechnique,concentration,Difficile,Combien de mots se terminent par une consonne ?,,Les détectives réunis discutèrent de l'indice crucial trouvé lors de leur dernière enquête.,"{""5"",""6"",""7"",""8""}",6,"Détectives (1), discutèrent (1), crucial (1), trouvé (0), lors (1), leur (1), enquête (0), totalisant 6 mots.",Focalisez sur les dernières lettres.,true
psychotechnique,concentration,Difficile,Quel chiffre est l'intrus dans la séquence suivante ?,Identifie le chiffre qui ne suit pas le modèle croissant.,1 3 5 7 2 9 11,"{""3"",""5"",""7"",""2""}",2,La séquence est formée de chiffres impairs croissants. Le chiffre 2 est pair et rompt le modèle.,Cherchez la série de nombres impairs.,true
