module,category,difficulty,question,prompt,image_url,figure_data,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_spatial,Facile,Quelle est la vue de dessus d'un cylindre droit ?,"Considérez un cylindre vu directement d'en haut, perpendiculaire à sa base.",,,"[{""key"":""A"",""label"":""Rectangle""},{""key"":""B"",""label"":""Ovale""},{""key"":""C"",""label"":""Cercle""},{""key"":""D"",""label"":""Carré""}]",C,"Vu de dessus, un cylindre apparaît comme un cercle, car seule la face supérieure est visible dans sa vue orthogonale. Confusion possible avec l'ovale qui correspondrait à une section à angle oblique.",Considérez seulement la base supérieure du cylindre.,true
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes a une pyramide à base triangulaire ?,,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""9""},{""key"":""D"",""label"":""12""}]",A,"Une pyramide à base triangulaire a trois arêtes de base et trois arêtes s'élevant vers le sommet. En total, cela fait 6 arêtes. Souvent on omet ou ajoute certaines arêtes, confondant avec le tétraèdre.",Le sommet central est relié à chaque coin de la base.,true
psychotechnique,raisonnement_spatial,Facile,À combien de faces le cône se compose-t-il ?,,,,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",B,Un cône se compose de deux faces : une face latérale courbe et une base circulaire. La division en plus de deux faces entraîne une erreur qui consiste à avoir confondu segments incurvés pour des arêtes.,,true
psychotechnique,raisonnement_spatial,Facile,Quelle forme résulte de la projection horizontale d'une sphère ?,Imagine voir une sphère directement du dessus si le sol est un espace de base.,,,"[{""key"":""A"",""label"":""Cercle""},{""key"":""B"",""label"":""Ellipse""},{""key"":""C"",""label"":""Rectangle""},{""key"":""D"",""label"":""Point""}]",A,"La projection horizontale d'une sphère produit un cercle, représentant la circonférence maximale visible depuis la vue aérienne. On pourrait confondre avec une ellipse si la sphère n'est pas totalement symétrique en perspective.",Les cercles sont les projections basiques des sphères sur un plan.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces latérales a un prisme rectangulaire ?,,,,"[{""key"":""A"",""label"":""2""},{""key"":""B"",""label"":""3""},{""key"":""C"",""label"":""4""},{""key"":""D"",""label"":""6""}]",C,"Un prisme rectangulaire, aussi appelé parallélépipède rectangle, a quatre faces latérales. Chacune des faces latérales est un rectangle, tandis que les deux autres faces sont ses bases. Parfois, la confusion réside dans le comptage des bases.",,true
psychotechnique,raisonnement_spatial,Moyenne,Lequel de ces patrôns doit-on choisir pour former un prisme triangulaire une fois plié ?,Recherchez les assemblages d'un triangle et de rectangles.,,,"[{""key"":""A"",""label"":""Deux triangles et trois rectangles""},{""key"":""B"",""label"":""Quatre triangles équilatéraux""},{""key"":""C"",""label"":""Un triangle et quatre rectangles""},{""key"":""D"",""label"":""Cinq triangles isocèles""}]",A,"Un prisme triangulaire se compose de deux bases triangulaires identiques et de trois faces rectangulaires reliant les bases. Il est facile de penser qu'un plus grand nombre de triangles est nécessaire, mais ce n'est pas le cas pour ce type de prisme.",Regardez pour un patron qui inclut deux formes triangulaires identiques.,true
psychotechnique,raisonnement_spatial,Moyenne,Quel prisme peut être formé par un patron composé de deux triangles équilatéraux et trois rectangles identiques ?,Pensez à un solide qui a des bases en forme de triangle.,,,"[{""key"":""A"",""label"":""Prisme triangulaire""},{""key"":""B"",""label"":""Pyramide""},{""key"":""C"",""label"":""Cube""},{""key"":""D"",""label"":""Cylindre""}]",A,"Le prisme triangulaire est constitué de deux bases triangulaires et de trois faces latérales rectangulaires. La confusion peut survenir avec une pyramide, mais la pyramide n'utilise pas de rectangles dans ce context.",,true
psychotechnique,raisonnement_spatial,Moyenne,Combien de faces sont visibles en même temps dans la vue de dessus d'un cube ?,Considérer la projection du cube à partir de sa face supérieure.,,,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",C,"Lorsque l'on regarde un cube du dessus, on voit la face supérieure directement et partiellement les trois faces adjacentes. Ceux-ci forment trois plans visibles à n'importe quel moment à partir de cet angle.",,true
psychotechnique,raisonnement_spatial,Moyenne,Quelle est la projection frontale d'une sphère ?,Imaginez une observation directe et perpendiculaire à une sphère.,,,"[{""key"":""A"",""label"":""Cercle""},{""key"":""B"",""label"":""Ellipse""},{""key"":""C"",""label"":""Disque""},{""key"":""D"",""label"":""Point""}]",A,La projection frontale d'une sphère apparait comme un cercle puisqu'elle est une rotation axiale symétrique uniforme. On pourrait facilement la confondre avec une ellipse si la sphère était vue sous un angle autre que perpendiculaire.,Une sphère vue de côté donne la même silhouette qu'une vue à partir du sommet.,true
psychotechnique,raisonnement_spatial,Moyenne,Quelle figure obtient-on si un rectangle est plié le long de sa diagonale ?,Imaginez le pliage d'un rectangle autour de sa ligne diagonale médiane.,,,"[{""key"":""A"",""label"":""Deux triangles rectangles""},{""key"":""B"",""label"":""Un carré""},{""key"":""C"",""label"":""Un parallélogramme""},{""key"":""D"",""label"":""Un trapèze""}]",A,"Plier un rectangle le long de sa diagonale divise la surface en deux triangles rectangles congruents, puisque chaque angle initialement droit est maintenant partagé. Les confusions surviennent entre la cause de la symétrie résultante et des suppositions fausses d'une transformation.",Imaginez chaque moitié comme un triangle rectangle constitué par la coupe.,true
psychotechnique,raisonnement_spatial,Moyenne,"Si l'on supprime les 4 coins d'un cube, combien de faces supplémentaires se créent ?","Visualisez un cube dont chaque sommet est tronqué, ce qui entraîne des ajouts de faces.",,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""12""},{""key"":""D"",""label"":""16""}]",B,"En tranchant les 4 coins d'un cube, chaqe sommet ajoute une surface plane, donc 4 coins tranchés ajoutent 4×2 nouvelles faces, une pour chaque bord du coin coupé. Ce nombre égal à 8 peut induire une confusion par rapport aux arêtes existantes.",Chaque coin coupé forme une nouvelle petite face à sa place.,true
psychotechnique,raisonnement_spatial,Moyenne,Combien de sommets a une pyramide dont la base est un hexagone ?,,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""7""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""9""}]",B,"Une pyramide hexagonale a 6 sommets qui forment la base, et un sommet supplémentaire où toutes les arêtes latérales convergent, soit un total de 7 sommets. Souvent, les gens négligent d'ajouter le sommet au total initial des sommets de la base.",,true
psychotechnique,raisonnement_spatial,Moyenne,De combien de carrés est composé un patron cruciforme formant un cube?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""5""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""7""}]",C,"Pour construire un cube, il faut six faces. Un patron cruciforme typique comprend un carré central avec 4 carrés formant des bras plus un carré additionnel sur une extrémité, donnant un total de 6. Cette configuration peut être confondue avec d'autres figures plus simples.",Un patron cruciforme utilise 6 carrés pour compléter ses faces.,true
psychotechnique,raisonnement_spatial,Moyenne,Combien de cubes 1x1x1 faut-il pour construire un cube de 3x3x3 ?,Envisagez un grand cube avec des cubes unitaires empilés à l'intérieur.,,,"[{""key"":""A"",""label"":""9""},{""key"":""B"",""label"":""27""},{""key"":""C"",""label"":""54""},{""key"":""D"",""label"":""81""}]",B,"Un cube de côté 3 est constitué par 3 cubes empilés par côté, soit 3^3 = 27 petits cubes unitaires. Un oubli fréquent peut survenir en négligeant la multiplication des dimensions dans les trois directions.",C'est en ajoutant les cubes dans les trois dimensions qu'on atteint 27.,true
psychotechnique,raisonnement_spatial,Moyenne,Quelle est la figure résultante après avoir découpé une pyramide à base triangulaire par un plan parallèle à sa base ?,Imaginez une coupe qui divise la pyramide en deux parties en parallèle à sa base.,,,"[{""key"":""A"",""label"":""Triangle""},{""key"":""B"",""label"":""Cercle""},{""key"":""C"",""label"":""Rectangle""},{""key"":""D"",""label"":""Pentagone""}]",A,"Couper une pyramide le long d'un plan parallèle à sa base produit un triangle plus petit mais similaire, car chaque côté est parallèle et proportionnel à l'original. On pourrait s'attendre à une variation plus complexe en négligeant la symétrie.",La base projetée reste un triangle similaire.,true
psychotechnique,raisonnement_spatial,Moyenne,Combien de faces sont créées si un cube est coupé par trois plans parallèles aux faces ?,Considérez un cube initialement unique qui se voit divisé en plusieurs parties par les coupes.,,,"[{""key"":""A"",""label"":""8""},{""key"":""B"",""label"":""12""},{""key"":""C"",""label"":""16""},{""key"":""D"",""label"":""18""}]",A,"Chaque plan parallèle coupe le cube en partie, créant 8 cubes plus petits, chaque face initiale étant divisionnée par ces plans. Les complexités surgissent lorsqu'on ignore que chaque coupe augmente le nombre total de blocs.",,true
psychotechnique,raisonnement_spatial,Moyenne,Quelle est la forme de l'intersection de deux plans perpendiculaires dans l'espace ?,Réfléchissez à ce qu'il advient des deux plans et de la ligne en croisement.,,,"[{""key"":""A"",""label"":""Point""},{""key"":""B"",""label"":""Ligne droite""},{""key"":""C"",""label"":""Plan""},{""key"":""D"",""label"":""Cube""}]",B,Deux plans perpendiculaires s'intersectent le long d'une ligne droite. Ce concept peut causer des erreurs si les candidats envisagent des interférences plus complexes comme des mouvements tridimensionnels dans un espace ouvert.,Penseur en deux plans se croisant à angle et non se superposant.,true
psychotechnique,raisonnement_spatial,Difficile,Combien de cubes sont totalement invisibles dans un cube 5×5×5 totalement vidé en son centre ?,Un cube 5×5×5 peint sur les faces extérieures a un cube interne non visuel évidé au cœur.,,,"[{""key"":""A"",""label"":""8""},{""key"":""B"",""label"":""12""},{""key"":""C"",""label"":""27""},{""key"":""D"",""label"":""54""}]",C,"En retirant trois couches de chaque côté, un cube central 3×3×3 non visible persiste. Ce cube pur enterré conserve 27 petits cubes intacts, évitant les erreurs de calcul par non-compréhension des couches vides.",Tirez centré un cube plus petit et visualisez l'intérieur non apparent.,true
psychotechnique,raisonnement_spatial,Difficile,Combien de cubes ont exactement trois faces peintes dans un cube 4×4×4 ?,"Considérez les cubes placés aux coins du cube complet, peints de chaque côté exposé.",,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""12""},{""key"":""D"",""label"":""16""}]",B,Seuls les coins d'un cube auront trois faces exposées et peintes. Un cube 4x4x4 a 8 coins donc 8 petits cubes à 3 faces peintes. Il est facile de manquer cette caractéristique si l'on pense à des arêtes ou à d'autres pièces centrales.,,true
psychotechnique,raisonnement_spatial,Difficile,Combien de cubes unitaires ont 2 faces non peintes après décapage du cube 5×5×5 ?,"Après peinture totale et découpe espacée, les cubes intérieurs se cachent deux faces opposées vierges.",,,"[{""key"":""A"",""label"":""12""},{""key"":""B"",""label"":""16""},{""key"":""C"",""label"":""24""},{""key"":""D"",""label"":""32""}]",C,"Les éléments ayant deux faces non peintes sont situés aux intersections de tranches. Dans un cube 5×5×5, vous avez 4 cubes par arête côté (parallèle à chaque face interne), soit 4x6 = 24 cubes protégés de chaque voix, chacun au centre.",Visualisez des carrés à 2 côtés blanchement embusqué à proximité.,true
psychotechnique,raisonnement_spatial,Difficile,"Si un cube 4×4×4 est peint et découpé, combien de ses coins restent non peints ?",,,,"[{""key"":""A"",""label"":""0""},{""key"":""B"",""label"":""4""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""12""}]",A,"Tous les coins d'un cube seront peints s'ils font partie de l'extérieur. Aucun ne restera non peint sur une couche extérieure. Souvent, on suppose à tort qu'il pourrait exister des surfaces internes protégées.","Chaque sommet externe touche la peinture, sans exception.",true
psychotechnique,raisonnement_spatial,Difficile,Combien de petits cubes resteraient visibles après empilement en arc-en-ciel de couches colorées de 6 degrés ?,,,,"[{""key"":""A"",""label"":""72""},{""key"":""B"",""label"":""84""},{""key"":""C"",""label"":""100""},{""key"":""D"",""label"":""120""}]",B,"Avec une organisation spécifique, les cubes visibles peuvent fluctuer, confondue par l'interaction de couches multiples. La variabilité générée par une reproduction visible correcte peut masquer les variations internes dans le calcul.",Considérez la couleur dominante sans recouvrer la totalité.,true
psychotechnique,raisonnement_spatial,Difficile,Combiens de cubes 7x7x7 doivent-on soustraire pour rester final à l'initialité interne de 5x5x5 ?,Trouvez les cubes restants en calculant combien peuvent être ôtés sans compromettre.,,,"[{""key"":""A"",""label"":""152""},{""key"":""B"",""label"":""171""},{""key"":""C"",""label"":""196""},{""key"":""D"",""label"":""216""}]",B,Cette méprise demande un raisonnement fondamental pour éviter la défaillance cognitive grâce auquel les copies évitent les distorsions arithmétiques pratiques. L'emplacement et la direction sont significatifs pour la fin sélectionnée.,Le calcul serait prolongé si le centre ne restait pas.,true
psychotechnique,raisonnement_spatial,Difficile,Quel équivalent pot-on retrouvé percevant distinctement un cube vidé d'un centre en étoile ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""12""}]",D,"Par déduction, devenez conscient que la géométrie étoilée est anxiogène mais réunit chaque élément segmenté à une abstraction, favorisant la discernabilité linéaire. Développement en étoile peut générer une série de perspectives troubles.",Ce n'est qu'un décompte faculté utilisant retrospec entre toiturage.,true
psychotechnique,raisonnement_spatial,Difficile,"Combien de solides en pyramide, bien qu'ayant le même nombre d'arêtes intègres de sections ?",,,,"[{""key"":""A"",""label"":""12""},{""key"":""B"",""label"":""18""},{""key"":""C"",""label"":""24""},{""key"":""D"",""label"":""30""}]",B,"Les multitudes de structure pyramidale modifient les configurations internes, évoquant des métriques nouvelles avec ces jointures d'extrêmes qu'on découvre souvent lors de l'intégration de surfaces identiques.",Regardez les conflux où chaque pic sera vu solidairement.,true
psychotechnique,raisonnement_spatial,Difficile,Combien de cubes latéraux soient égalés dans leurs proportions une fois peints autour d'un bord ?,,,,"[{""key"":""A"",""label"":""8""},{""key"":""B"",""label"":""16""},{""key"":""C"",""label"":""24""},{""key"":""D"",""label"":""32""}]",D,Le défi latent des cubes latéraux concerne la répartition symétrique attendue dans chaque transformation apparente. Il se produit souvent une méprise face à l'inexactitude des colorations appliquées partielles.,Evaluez attentivement la distribution sous tous les angles.,true
psychotechnique,raisonnement_spatial,Difficile,Quelle est l'intersection complète de trois plans perpendiculaires occupant un cube ?,,,,"[{""key"":""A"",""label"":""Point""},{""key"":""B"",""label"":""Ligne""},{""key"":""C"",""label"":""Plan""},{""key"":""D"",""label"":""Cube""}]",A,"Les points où se coupent triplement plusieurs motifs complexes sont uniques, simplifiés ici en référence à leur nature géométrique fondamentale. Concept apparemment trompeur pour les candidats égarés par nombre de piles.",Chaque plan intersectera consécutivement l'un l'autre.,true
