module,category,difficulty,question,prompt,image_url,figure_data,transformation_type,options,answer,explanation,hint,is_active
psychotechnique,rotations_symetries,Moyenne,"Quelle lettre majuscule est centro-symétrique parmi : H, I, M, N ?",,,,symétrie centrale,"[{""key"":""A"",""label"":""H""},{""key"":""B"",""label"":""I""},{""key"":""C"",""label"":""M""},{""key"":""D"",""label"":""N""}]",B,"La lettre 'I' possède une symétrie centrale : en appliquant une rotation de 180° autour de son centre, elle reste visuellement équivalente.",Cherchez une symétrie centrale.,true
psychotechnique,rotations_symetries,Moyenne,Combiner deux symétries axiales d'axes parallèles équivaut à quoi ?,,,,combinée,"[{""key"":""A"",""label"":""Une translation""},{""key"":""B"",""label"":""Une rotation de 90°""},{""key"":""C"",""label"":""Une homothétie""},{""key"":""D"",""label"":""Une symétrie centrale""}]",A,Deux symétries axiales avec des axes parallèles produisent une translation. Les points glissent le long d'une direction perpendiculaire aux axes.,Avez-vous remarqué le mouvement linéaire engendré ?,true
psychotechnique,rotations_symetries,Moyenne,Une rotation de 180° d'une lettre 'S' équivaut à :,,,,rotation,"[{""key"":""A"",""label"":""Elle reste identique""},{""key"":""B"",""label"":""Une symétrie centrale""},{""key"":""C"",""label"":""Son reflet horizontal""},{""key"":""D"",""label"":""Son reflet vertical""}]",B,"Le 'S' devient identique après renversement de 180°, illustrant ainsi la symétrie centrale. Cette transformation vise de nombreux caractères courbes ou sinueux.",Retournement complet de demi-tour.,true
psychotechnique,rotations_symetries,Moyenne,Quelle transformation est identique à une rotation de 540° autour d'un point ?,,,,rotation,"[{""key"":""A"",""label"":""90°""},{""key"":""B"",""label"":""180°""},{""key"":""C"",""label"":""360°""},{""key"":""D"",""label"":""540°""}]",A,"540° est équivalent à 1,5 tours complets. Après avoir bouclé, un surplus de 180°, cela équivaut donc simplement à une rotation de 180° additionnée à 360°.",Pensez à combien de tours ça fait.,true
psychotechnique,rotations_symetries,Moyenne,"Quel chiffre est centro-symétrique parmi 2, 3, 5, 8 ?",,,,symétrie centrale,"[{""key"":""A"",""label"":""2""},{""key"":""B"",""label"":""3""},{""key"":""C"",""label"":""5""},{""key"":""D"",""label"":""8""}]",D,"Le chiffre 8 est symétrique par rotation de 180°, restant inchangé. Sa forme fermée et uniforme permet cette invariance, contrairement aux autres chiffres mentionnés.",Rotation complète sans altération.,true
psychotechnique,rotations_symetries,Moyenne,Combien d'axes de symétrie possède un triangle isocèle ?,Supposons un triangle avec deux côtés égaux et une base.,,,symétrie axiale,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""0""},{""key"":""D"",""label"":""3""}]",A,"Un triangle isocèle a un seul axe de symétrie, la médiane perpendiculaire partant de son sommet opposé à sa base. Cette ligne divise le triangle en deux sections égales.",Une seule division en moitiés égales.,true
psychotechnique,rotations_symetries,Moyenne,Combiner deux symétries axiales orthogonales équivaut à :,,,,combinée,"[{""key"":""A"",""label"":""Une translation""},{""key"":""B"",""label"":""Une rotation de 180°""},{""key"":""C"",""label"":""Une homothétie""},{""key"":""D"",""label"":""Une réflexion unique""}]",B,"Deux symétries axiales à 90° agissent comme une rotation de 180°. Certaines figures se retournent complètement, donnant une impression de bascule centrale.",Pensez aux axes croisés qui se retournent.,true
psychotechnique,rotations_symetries,Moyenne,Combien d'axes de symétrie vérifiables pour un trapèze isocèle ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""0""},{""key"":""B"",""label"":""1""},{""key"":""C"",""label"":""2""},{""key"":""D"",""label"":""3""}]",B,"En ayant un seul axe de symétrie pour le trapèze isocèle, l'axe est médian. Les paires de côtés parallèles différeraient autrement l'équilibre du reflet.",Pensez horizontalement à travers le centre.,true
psychotechnique,rotations_symetries,Moyenne,La lettre S après 3 rotations de 60° reprend quel aspect ?,,,,rotation,"[{""key"":""A"",""label"":""Identique""},{""key"":""B"",""label"":""Symétrie centrale""},{""key"":""C"",""label"":""Transposée verticalement""},{""key"":""D"",""label"":""Miroir horizontal""}]",B,"Après trois rotations de 60°, le 'S' tourne sur lui-même de 180° et devient une image identique mais inversée. Cela démontre la propriété de symétrie centrale.",Additionnez les angles pour voir l'ensemble.,true
psychotechnique,rotations_symetries,Moyenne,Combien d'axes d'une étoile à 5 branches pour répartition équilibrée ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""0""},{""key"":""B"",""label"":""1""},{""key"":""C"",""label"":""2""},{""key"":""D"",""label"":""5""}]",D,"Chaque axe de symétrie, passant entre deux bras opposés, renvoie l'étoile à sa correspondance mirrorée. Faire attention à la dissymétrie pourrait interférer.",Considérez la régularité angulaire.,true
psychotechnique,rotations_symetries,Difficile,Une rotation de 180° dans l'espace 3D maintient quelle figure originale ?,Considérez un cube vu sous diverses perspectives.,,,rotation,"[{""key"":""A"",""label"":""La forme ne change pas""},{""key"":""B"",""label"":""Il tourne autour de l'axe central""},{""key"":""C"",""label"":""Il se reflète dans l'eau""},{""key"":""D"",""label"":""Il change de couleur""}]",A,"En 3D, tourner un cube 180° dans n'importe quel axe le garde visuellement identique structurellement mais avec ses faces déplacées. Cette invariance prouve sa stabilité dimensionnelle.",Dépend de l'axe mais résulte en équivalence.,true
psychotechnique,rotations_symetries,Difficile,Quelle transformation équivaut à deux rotations successives de 180° puis 90° ?,,,,combinée,"[{""key"":""A"",""label"":""270°""},{""key"":""B"",""label"":""360°""},{""key"":""C"",""label"":""90°""},{""key"":""D"",""label"":""0°""}]",A,"Deux rotations de 180° se compensent mais cumulées avec une de 90°, il y a rotation de 270°. C'est là souvent mal compris avec la symétrie et l'identité.",Additionnez les degrés en séquence.,true
psychotechnique,rotations_symetries,Difficile,Quelle lettre se transforme identiquement après une rotation de 540° ?,"On décrit une vue tridimensionnelle, axée verticalement.",,,rotation,"[{""key"":""A"",""label"":""I""},{""key"":""B"",""label"":""O""},{""key"":""C"",""label"":""T""},{""key"":""D"",""label"":""U""}]",B,"Dans une rotation complète, le 'O' redeviendrait égal à lui-même nonobstant des incréments additionnels. Cette figure annulaire retient son symétrique circulaire.",Figures circulaires retiennent leur angle.,true
psychotechnique,rotations_symetries,Difficile,Comment une lettre P retournée horizontalement et verticalement apparaît-elle ?,,,,combinée,"[{""key"":""A"",""label"":""D""},{""key"":""B"",""label"":""B""},{""key"":""C"",""label"":""T""},{""key"":""D"",""label"":""Q""}]",B,Une symétrie combinée avec retournement vertical et horizontal tombe sur la symétrie de B. C'est la démonstration simultanée où la reconnaissance est endommagée.,Combinez les deux pour voir le miroir.,true
psychotechnique,rotations_symetries,Difficile,Quelle transformation génère une double réflexion sur une étoile à 6 branches ?,,,,combinée,"[{""key"":""A"",""label"":""6 axes égaux""},{""key"":""B"",""label"":""Une translation quelconque""},{""key"":""C"",""label"":""Rotation étoilée""},{""key"":""D"",""label"":""Un miroir centralisé""}]",A,Une étoile à 6 branches se reflète donc sur chaque axe particulier symétrique équivalent à un polygone à 6 côtés. Les six lignes vierges le divisent équitablement selon les pointes.,Réflective égale du centre à la périphérie.,true
psychotechnique,rotations_symetries,Difficile,Combinaison de reflexes verticaux/horizontaux sur une barre T offre :,,,,combinée,"[{""key"":""A"",""label"":""Bidentée""},{""key"":""B"",""label"":""Croix""},{""key"":""C"",""label"":""Miroir inapproprié""},{""key"":""D"",""label"":""Buc Français""}]",B,"Une symétrie karstique de T agit en combinaison disant 'brute' (aka croix). La croix, après empêchement de la symétrie équilibrée, synchronise leurs lignes perpendiculaires.",Imaginez un croisement de 90° prisé.,true
psychotechnique,rotations_symetries,Difficile,Axes triangulaires internes après rotation duale de lettre K 3D ?,,,,rotation,"[{""key"":""A"",""label"":""Hermétiquement bâti""},{""key"":""B"",""label"":""Splendide Heure""},{""key"":""C"",""label"":""Triadique Reversé""},{""key"":""D"",""label"":""Symbiose Archaïque""}]",C,"Graphiquement imprescriptible après 2 rotations obtuses procurent une répétition inversée triangulaire-de-K. Le pari où perte et disjonction naissent, cimentent la chasse avec une projection créatrice.",Examinez la solidité triangulaire.,true
psychotechnique,rotations_symetries,Difficile,Que devient un cube à 3 rotations égales extraplombant sur son angle ?,,,,rotation,"[{""key"":""A"",""label"":""Rien""},{""key"":""B"",""label"":""Retenons sa surface comète""},{""key"":""C"",""label"":""Accumule l'espace""},{""key"":""D"",""label"":""Répétition brodée""}]",D,"Ce cube 3D expérimenté conserve figurativement sa semie-parité version horizontale-extraplée. De la surcharge se forme une continuité plutôt frivole, l'ajout ultime est interne bien pratiqué.",Tournez dans l'axe d'un panoramique noir.,true
psychotechnique,rotations_symetries,Difficile,Rotations cumulées 3x120° autour d'axe z sur étoile octogonale remène :,,,,rotation,"[{""key"":""A"",""label"":""Invariable""},{""key"":""B"",""label"":""Équilibré Oppps""},{""key"":""C"",""label"":""Harmonieux Immobile""},{""key"":""D"",""label"":""Hisoride Métallique""}]",B,La rotation renouvelée induit une bascule occulte aidant la préservation de chaque tranche. Ces têtes d'étoile proviennent de leur synthèse originale entre ces incréments d'angulation.,Reproduisez grâce au même chemin.,true
psychotechnique,rotations_symetries,Difficile,Quel effet garantit système géodésique après rotation horizontale 210° en double-octogone ?,,,,rotation,"[{""key"":""A"",""label"":""Répartition Élégiaque Totale""},{""key"":""B"",""label"":""Production Fractionnelle""},{""key"":""C"",""label"":""Dynamisme Spectral""},{""key"":""D"",""label"":""Anacronie d'Espace""}]",A,"Une rotation particulière sur axe octogonal-doublé octroie une perspective plus globale. Cette transformation réinitialise des concepts ordinaires, généraux et épousés phénologiques.",Riposte sur la dimension augmentée.,true
psychotechnique,rotations_symetries,Difficile,Combien alignée diffère chaque axe latéral d'une boîte suite à tirette de 1m ?,,,,combinée,"[{""key"":""A"",""label"":""Cordiale""},{""key"":""B"",""label"":""Azur""},{""key"":""C"",""label"":""Différence Fractale""},{""key"":""D"",""label"":""Horizonalement Alternée""}]",D,"L'application précise de la translation parachute des tisseurs inédits, n'étant ni aléatoire, ni confondants et inédits manquent d'effort synchrone.",Trampoline équilibré dans la conquête.,true
