module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"5, 10, 15, ?, 25",Quel terme manque ?,"{""22"",""18"",""20""}",20,"La suite suit une progression arithmétique avec une addition de 5. Par conséquent, 15 + 5 = 20. Une erreur habituelle serait de penser qu'il s'agit d'un doublement.",Cherche à ajouter un nombre constant.,true
psychotechnique,suite_logique,Facile,"?, 9, 12, 15, 18",Quel terme manque ?,"{""6"",""8"",""7""}",6,Cette suite est une progression arithmétique avec un ajout de 3 à chaque pas. On commence donc avec 6. Éviter l'erreur de considérer d'autres valeurs initiales possibles est crucial ici.,Départ avec une addition de +3.,true
psychotechnique,suite_logique,Facile,"8, 16, ?, 64",Quel terme manque ?,"{""32"",""48"",""24""}",32,Il s'agit d'une suite multiplicative où chaque terme est multiplié par 2. Le terme manquant est donc calculé par 16 × 2 = 32. Il faut éviter de confondre cette suite avec une addition arithmétique.,Multiplie chaque terme par 2.,true
psychotechnique,suite_logique,Facile,"21, 24, ?, 30, 33",Quel terme manque ?,"{""25"",""26"",""27""}",27,Une simple progression avec un ajout de 3 à chaque étape. On calcule le terme suivant par 24 + 3 = 27. Ne te laisse pas tromper par une fausse piste avec des additions irrégulières.,Addition constante de 3 chaque fois.,true
psychotechnique,suite_logique,Facile,"5, 10, 20, 40, ?",Quel terme manque ?,"{""60"",""80"",""50""}",80,"Les termes doublent à chaque étape, donc 40 × 2 = 80. Il est facile de se tromper en pensant à un ajout simple au lieu d'une multiplication.",Chaque terme est multiplié par 2.,true
psychotechnique,suite_logique,Facile,"3, 6, 12, 24, ?",Quel terme manque ?,"{""45"",""50"",""48""}",48,"Le motif est de multiplier chaque terme par 2, comme suit : 24 × 2 = 48. Le piège consisterait à mal identifier le facteur multiplicatif.",Multiplie chaque terme par un facteur.,true
psychotechnique,suite_logique,Facile,"9, 18, ?, 36, 45",Quel terme manque ?,"{""27"",""28"",""26""}",27,"Chaque nombre est un multiple de 9 (9, 18, 27, 36, ...). Le calcul pour le terme manquant est donc 18 + 9 = 27. Évitez de multiplier sans vérifier le facteur de base utilisé.",Cherche les multiples de 9.,true
psychotechnique,suite_logique,Moyenne,"1, 3, 7, ?, 31",Quel terme manque ?,"{""10"",""15"",""16""}",15,"La différence entre termes augmente de 2 à chaque fois (2, 4, 8, ...) donc le calcul est 7 + 8 = 15. Il est facile de rater l'augmentation progressive de la différence.",Vérifie la différence progressive.,true
psychotechnique,suite_logique,Moyenne,"10, 12, 15, ?, 24",Quel terme manque ?,"{""20"",""19"",""18""}",19,"L'alternance des progressions est de +2, puis de +3. Ici, 15 + 4 = 19 serait la bonne réponse. Attention à ne pas se laisser piéger par un simple ajout constant.",Alternance d'ajouts variables.,true
psychotechnique,suite_logique,Moyenne,"4, 9, 16, 25, ?",Quel terme manque ?,"{""30"",""36"",""34""}",36,"Cette suite est formée par les carrés de 2, 3, 4, 5, donc le prochain carré est 6² = 36. Le piège est de penser qu'il s'agit d'une progression arithmétique.",Ce sont tous des carrés parfaits.,true
psychotechnique,suite_logique,Moyenne,"2, 6, 5, 15, 10, ?, 20",Quel terme manque ?,"{""35"",""25"",""30""}",30,"La suite alterne entre une multiplication par 3 et une addition de 5. Après 10, la relation est 10 × 3 = 30. Le piège est d'oublier l'alternance, ce qui est crucial ici.","Un pas est un produit, l'autre une addition.",true
psychotechnique,suite_logique,Moyenne,"3, 5, 11, 21, ?",Quel terme manque ?,"{""35"",""30"",""33""}",35,"La suite double chaque nombre et soustrait 1. Donc, 21 × 2 - 1 = 35. Il est facile de confondre avec une simple addition.",Double et soustrais une unité.,true
psychotechnique,suite_logique,Moyenne,"A, C, F, J, ?",Quel terme manque ?,"{""M"",""N"",""O""}",O,"Les lettres suivent un écart de +2, +3, +4 successivement. Donc J + 5 = O. Le piège serait de manquer la progression croissante.",Les écarts entre lettres augmentent.,true
psychotechnique,suite_logique,Moyenne,"17, 19, 23, ?",Quel terme manque ?,"{""29"",""27"",""28""}",29,"Ces termes sont des nombres premiers. Le terme qui suit est donc le prochain nombre premier après 23, soit 29. Attention, il est facile de se laisser tromper par un écart régulier qui n'existe pas.",Un motif lié aux nombres premiers.,true
psychotechnique,suite_logique,Moyenne,"1, 4, 9, 16, ?, 36",Quel terme manque ?,"{""28"",""24"",""25""}",25,"La suite est une série carrée simple, où chaque terme est un carré parfait. Après 16 (qui est 4²), le terme suivant est 5² = 25. Faire l'erreur de supposer une progression arithmétique constante est un piège.",Carrés parfaits successifs.,true
psychotechnique,suite_logique,Moyenne,"2, 5, 12, ?, 50",Quel terme manque ?,"{""24"",""32"",""30""}",24,"Chaque nombre est multiplié par 2 et réduit de 2. Donc, 12 × 2 = 24. Un piège classique est d'oublier des opérations imbriquées.",Combinaison de multiplication et soustraction.,true
psychotechnique,suite_logique,Moyenne,"3, 6, 12, ?, 48",Quel terme manque ?,"{""18"",""30"",""24""}",24,"Les termes dans cette sélection doublent les précédents (3, 6, 12, ...), donc 12 × 2 = 24. Une erreur est de ne pas identifier la base de multiplication.",Chaque terme est doublé.,true
psychotechnique,suite_logique,Moyenne,"4, 12, ?, 48, 112",Quel terme manque ?,"{""24"",""32"",""28""}",28,"Il s’agit d’une progression de progression. Le calcul est effectuée par : (4 + 8 = 12), (12 + 16 = 28). Une erreur typique consiste à prendre l'augmentation simple pour une constance.",Progression de progression.,true
psychotechnique,suite_logique,Moyenne,"7, 14, 17, 34, ?, 70",Quel terme manque ?,"{""43"",""35"",""37""}",35,Les termes alternent entre une addition de 7 et une multiplication par 2. Le terme suivant est 17 + 18 = 35. Ne pas voir l'alternance des opérations peut mener à une mauvaise conclusion.,Alternance entre addition et multiplication.,true
psychotechnique,suite_logique,Moyenne,"14, 28, ?, 84, 112",Quel terme manque ?,"{""56"",""42"",""70""}",42,"Dans cette suite, chaque terme est multiplié par 2, puis la série continue avec une augmentation de 14. 28 + 14 = 42 est la solution. Ne tombe pas dans le piège d'ignorer l’opération intermédiaire.",Deux étapes : multiplication et addition.,true
psychotechnique,suite_logique,Moyenne,"25, 30, 23, ?, 21",Quel terme manque ?,"{""28"",""30"",""26""}",26,"Il y a une alternance de réduction et d'augmentation : +5, -7. On a donc 23 - 7 = 26. le piège est de considérer uniquement l'addition ou la soustraction seule.",Alternance de soustraction et addition.,true
psychotechnique,suite_logique,Difficile,"1, 1, 2, 3, 5, 8, ?, 21",Quel terme manque ?,"{""13"",""12"",""11""}",13,Cette suite suit une progression de type Fibonacci. Chaque terme est la somme des deux précédents : 5 + 8 = 13. Le piège classique est de chercher une simple augmentation régulière.,Fais attention à une suite célèbre.,true
psychotechnique,suite_logique,Difficile,"2, 3, 5, 8, ?, 21",Quel terme manque ?,"{""12"",""14"",""13""}",13,"Suite de Fibonacci : Ajoute les deux chiffres : 5 + 8 = 13. Il peut être trompeur de supposer une progression arithmétique simple, erreur courante.",S'inspire de la suite de Fibonacci.,true
psychotechnique,suite_logique,Difficile,"1, 1, 2, 3, ?, 8, 13",Quel terme manque ?,"{""7"",""6"",""5""}",5,Il s'agit de la suite de Fibonacci : chaque terme est la somme des deux précédents (2 + 3 = 5). Le piège consiste à confondre avec un simple ajout régulier.,Deux termes pour former le suivant.,true
psychotechnique,suite_logique,Difficile,"2, 4, 6, 9, 13, ?",Quel terme manque ?,"{""18"",""19"",""16""}",18,Il s'agit d'une progression avec une somme croissante à chaque étape (2 + 2 = 4 ; 4 + 2 = 6). Le calcul se base ensuite sur 13 + 5 = 18 en prenant une addition successive. Ne confonds pas avec une simple addition linéaire.,Vérifie si la somme augmente.,true
psychotechnique,suite_logique,Difficile,"1, 4, 9, 16, ?",Quel terme manque ?,"{""26"",""25"",""24""}",25,"La suite est basée sur les carrés des nombres entiers (1², 2²,...). Ainsi, 5² = 25. Faute classique : confondre avec une simple suite de différence.",Termes carrés de nombres successifs.,true
psychotechnique,suite_logique,Difficile,"8, 27, 64, ?, 216",Quel terme manque ?,"{""150"",""125"",""120""}",125,"Il s’agit de cubes de nombres entiers (2³, 3³, 4³, ...). Le terme manquant est 5³ = 125. Les cubes peuvent être subtils et se confondre facilement avec des ajouts linéaires.",Les termes sont des cubiques.,true
psychotechnique,suite_logique,Difficile,"9, 14, 21, 32, ?, 57",Quel terme manque ?,"{""43"",""45"",""42""}",43,"Cette suite est une combinaison où la différence entre les termes augmente de 5 à chaque fois. Par conséquent, 32 + 11 = 43. Le piège classique est de manquer l’évolution de la différence à chaque étape.",La différence entre termes croît.,true
psychotechnique,suite_logique,Difficile,"1, 4, 10, 22, ?, 94",Quel terme manque ?,"{""43"",""46"",""53""}",46,"Les différences entre termes suivent une progression dont l’augmentation est +1, +3, +6, ce qui donne 46. Il est facile de mal estimer la suite quadratique à l'œuvre ici.",Étude de la différence quadratique.,true
psychotechnique,suite_logique,Difficile,"A, D, I, P, ?",Quelle lettre manque ?,"{""B"",""R"",""A""}",A,"La suite est un cumul d’ajout basé sur les positions de l’alphabet (A +3 = D ; D +5 = I ; I +7 = P, etc.). Ne pas reconnaître le schéma de décalage croissant est un piège habituel.","Chiffres alphabétiques, y voir une combinaison croissante.",true
psychotechnique,suite_logique,Difficile,"17, 19, 23, 29, ?, 41",Quel terme manque ?,"{""37"",""31"",""33""}",31,"Les termes sont tous des nombres premiers. Après 29, le suivant est 31. Se méfier de toute autre insertion numérique non priemale est crucial pour indiquer la progression exacte.",Pense aux nombres premiers.,true
psychotechnique,suite_logique,Difficile,"8, 16, 28, 44, ?",Quel terme manque ?,"{""72"",""60"",""64""}",64,"Il y a ajout successif dont la progression des ajouts diffère de 2, tel que : 44 +20 = 64. Ne confond pas cela avec simple croissance linéaire ; le principal est dans la structure de l'add-on croissant.",L'addition successive de cubes.,true
